state,abbrev,latitude,longitude,votes,winner,fips,fullname
AK,Alaska,65.3526,-150.4482,3,r,2,
AL,Ala,32.799,-86.8073,9,d,1,
AR,Ark,34.9513,-92.3809,6,r,5,
AZ,Ariz,33.7712,-111.3877,11,r,4,
CA,Calif,36.17,-119.7462,55,r,6,
CO,Colo,39.0646,-105.3272,9,r,8,
CT,Conn,41.5834,-72.7622,7,r,9,
DC,DC,38.8964,-77.0262,3,r,11,
DE,Del,38.6636,-75.5,3,d,10,
FL,Fla,27.8333,-81.717,29,d,12,
GA,Ga,32.9866,-83.6487,16,d,13,
HI,Hawaii,19.6352,-155.4987,4,d,15,
IA,Iowa,42.0046,-93.214,6,r,19,
ID,Idaho,44.2394,-114.5103,4,r,16,
IL,Ill,40.3363,-89.0022,20,r,17,
IN,Ind,39.8647,-86.2604,11,r,18,
KS,Kan,38.5111,-96.8005,6,r,20,
KY,Ky,37.669,-84.6514,8,d,21,
LA,La,31.2609,-92.4574,8,d,22,
MA,Mass,42.2734,-71.8,11,d,25,
MD,Md,39.0724,-76.7902,10,d,24,
ME,Maine,44.6074,-69.3977,4,d,23,
MI,Mich,43.3504,-84.5603,16,d,26,
MN,Minn,45.7326,-93.9196,10,r,27,
MO,Missouri,38.4623,-92.302,10,r,29,
MS,Miss,32.7673,-89.6812,6,r,28,
MT,Mont,46.9048,-110.3261,3,r,30,
NC,NC,35.0344,-77.1888,15,r,37,
ND,ND,47.5362,-99.793,3,r,38,
NE,Neb,41.1289,-98.2883,5,r,31,
NH,NH,43.4108,-71.5653,4,d,33,
NJ,NJ,40.314,-74.5089,14,d,34,
NM,NM,34.8375,-106.2371,5,d,35,
NV,Nev,39.6441,-116.7775,6,d,32,
NY,NY,43.4099,-75.977,29,d,36,
OH,Ohio,40.3736,-82.7755,18,d,39,
OK,Okla,35.5376,-96.9247,7,d,40,
OR,Ore,44.5672,-122.1269,7,r,41,
PA,Penn,41.1728,-78.8863,20,r,42,
RI,RI,41.6772,-71.5101,4,r,44,
SC,SC,33.3632,-80.0892,9,r,45,
SD,SD,44.2853,-99.4632,3,r,46,
TN,Tenn,35.7449,-86.7489,11,r,47,
TX,Texas,31.4222,-99.5068,38,d,48,
UT,Utah,40.1135,-111.8535,6,d,49,
VA,Va,37.7278,-78.9301,13,d,51,
VT,Vt,44.0407,-72.7093,3,d,50,
WA,Wash,47.3917,-121.5708,12,r,53,
WI,Wis,44.2563,-89.6385,10,r,55,
WV,WVa,38.468,-80.9696,5,r,54,
WY,Wyo,42.7475,-107.2085,3,r,56,
