code,state,winner,liveestimate,pollingprojection,votes,winner2012,latitude,longitude,fips
ak,AK,r, ,LR,3,R,65.3526,-150.4482,2
al,AL,r, ,R,9,R,32.799,-86.8073,1
ar,AR,r, ,R,6,R,34.9513,-92.3809,5
az,AZ,r,TRUE,T,11,R,33.7712,-111.3877,4
ca,CA,d,,D,55,D,36.17,-119.7462,6
co,CO,d,,T,9,D,39.0646,-105.3272,8
ct,CT,d, ,D,7,D,41.5834,-72.7622,9
dc,DC,d, ,D,3,D,38.8964,-77.0262,11
de,DE,d, ,D,3,D,38.6636,-75.5,10
fl,FL,r, ,T,29,D,27.8333,-81.717,12
ga,GA,r, ,T,16,R,32.9866,-83.6487,13
hi,HI,d, ,D,4,D,19.6352,-155.4987,15
ia,IA,r, ,T,6,D,42.0046,-93.214,19
id,ID,r, ,R,4,R,44.2394,-114.5103,16
il,IL,d, ,D,20,D,40.3363,-89.0022,17
in,IN,r, ,R,11,R,39.8647,-86.2604,18
ks,KS,r, ,R,6,R,38.5111,-96.8005,20
ky,KY,r, ,R,8,R,37.669,-84.6514,21
la,LA,r, ,R,8,R,31.2609,-92.4574,22
ma,MA,d, ,D,11,D,42.2734,-71.8,25
md,MD,d, ,D,10,D,39.0724,-76.7902,24
me,ME,d, ,LD,2,D,44.6074,-69.3977,23
me1,ME1,d, ,LD,1,D,44.6074,-69.3977,
me2,ME2,r, ,LR,1,D,44.6074,-69.3977,
mi,MI,r,TRUE,T,16,D,43.3504,-84.5603,26
mn,MN,d, ,LD,10,D,45.7326,-93.9196,27
mo,MO,r, ,R,10,R,38.4623,-92.302,29
ms,MS,r, ,R,6,R,32.7673,-89.6812,28
mt,MT,r, ,LR,3,R,46.9048,-110.3261,30
nc,NC,r, ,T,15,R,35.0344,-77.1888,37
nd,ND,r, ,R,3,R,47.5362,-99.793,38
ne,NE,r, ,R,2,R,41.1289,-98.2883,31
ne1,NE1,r, ,LR,1,R,41.1289,-98.2883,
ne2,NE2,r, ,LR,1,R,41.1289,-98.2883,
ne3,NE3,r, ,R,1,R,41.1289,-98.2883,
nh,NH,d,TRUE,T,4,D,43.4108,-71.5653,33
nj,NJ,d, ,D,14,D,40.314,-74.5089,34
nm,NM,d, ,LD,5,D,34.8375,-106.2371,35
nv,NV,d, ,T,6,D,39.6441,-116.7775,32
ny,NY,d, ,D,29,D,43.4099,-75.977,36
oh,OH,r, ,T,18,D,40.3736,-82.7755,39
ok,OK,r, ,R,7,R,35.5376,-96.9247,40
or,OR,d, ,LD,7,D,44.5672,-122.1269,41
pa,PA,r, ,T,20,D,41.1728,-78.8863,42
ri,RI,d, ,LD,4,D,41.6772,-71.5101,44
sc,SC,r, ,LR,9,R,33.3632,-80.0892,45
sd,SD,r, ,R,3,R,44.2853,-99.4632,46
tn,TN,r, ,R,11,R,35.7449,-86.7489,47
tx,TX,r, ,R,38,R,31.4222,-99.5068,48
ut,UT,r, ,T,6,R,40.1135,-111.8535,49
va,VA,d, ,T,13,D,37.7278,-78.9301,51
vt,VT,d, ,D,3,D,44.0407,-72.7093,50
wa,WA,d, ,D,12,D,47.3917,-121.5708,53
wi,WI,r, ,LD,10,D,44.2563,-89.6385,55
wv,WV,r, ,R,5,R,38.468,-80.9696,54
wy,WY,r, ,R,3,R,42.7475,-107.2085,56
