state,latitude,longitude,votes,winner
AK,65.3526,-150.4482,3,r
AL,32.799,-86.8073,9,r
AR,34.9513,-92.3809,6,r
AZ,33.7712,-111.3877,11,r
CA,36.17,-119.7462,55,d
CO,39.0646,-105.3272,9,d
CT,41.5834,-72.7622,7,d
DC,38.8964,-77.0262,3,d
DE,38.6636,-74.891,3,d
FL,27.8333,-81.717,29,d
GA,32.9866,-83.6487,16,r
HI,19.6352,-155.4987,4,d
IA,42.0046,-93.214,6,d
ID,44.2394,-114.5103,4,r
IL,40.3363,-89.0022,20,d
IN,39.8647,-86.2604,11,r
KS,38.5111,-96.8005,6,r
KY,37.669,-84.6514,8,r
LA,31.2609,-92.4574,8,r
MA,42.2734,-70.7632,11,d
MD,39.0724,-76.7902,10,d
ME,44.6074,-69.3977,4,d
MI,43.3504,-84.5603,16,d
MN,45.7326,-93.9196,10,d
MO,38.4623,-92.302,10,r
MS,32.7673,-89.6812,6,r
MT,46.9048,-110.3261,3,r
NC,35.0344,-77.1888,15,r
ND,47.5362,-99.793,3,r
NE,41.1289,-98.2883,5,r
NH,43.4108,-71.5653,4,d
NJ,40.314,-74.5089,14,d
NM,34.8375,-106.2371,5,d
NV,39.6441,-116.7775,6,d
NY,43.4099,-75.977,29,d
OH,40.3736,-82.7755,18,d
OK,35.5376,-96.9247,7,r
OR,44.5672,-122.1269,7,d
PA,41.1728,-78.8863,20,d
RI,41.6772,-71.5101,4,d
SC,33.3632,-80.0892,9,r
SD,44.2853,-99.4632,3,r
TN,35.7449,-86.7489,11,r
TX,31.4222,-99.5068,38,r
UT,40.1135,-111.8535,6,r
VA,37.7278,-78.9301,13,d
VT,44.0407,-72.7093,3,d
WA,47.3917,-121.5708,12,d
WI,44.2563,-89.6385,10,d
WV,38.468,-80.9696,5,r
WY,42.7475,-107.2085,3,r
